Autor,Universidad,Correo,Intereses,Cant Citas
Hans Zinnecker,Universidad Autónoma de Chile,Dirección de correo verificada de uautonoma.cl,,Citado por 19048
Eugenio Uriarte,"Profesor de Química Medicinal, Universidad de Santiago de Compostela, Universidad …",Dirección de correo verificada de uautonoma.cl,medicinal chemistry ,Citado por 14486
Vicente Martinez,Investigador Asociado Universidad Autónoma de Chile,Dirección de correo verificada de uautonoma.cl,Public Health Obesity epidemiology ,Citado por 9930
Nassir Sapag,Universidad Autónoma de Chile,Dirección de correo verificada de uautonoma.cl,Proyectos Inversiones finanzas riesgo ,Citado por 9646
José Antonio Vega,Investigador asociado Universidad Autónoma de Chile,Dirección de correo verificada de uautonoma.cl,Morphology ,Citado por 8550
Prof. Dr. Jose luis calvo guirado,Investigador Asociado de la Facultad de Ciencias de la Salud. Universidad Autónoma de …,Dirección de correo verificada de uautonoma.cl,implantes dentales dentin grinder biomateriales ,Citado por 8263
"Garcia-Gordillo, MA","Facultad de Administración y Negocios, Universidad Autónoma de Chile",Dirección de correo verificada de uautonoma.cl,Economía de la salud ,Citado por 7235
Jose L. Salmeron,Professor of Data Science (University Pablo de Olavide) and Universidad Autónoma de …,Dirección de correo verificada de uautonoma.cl,Data Science Computational Intelligence Soft computing eXplainable Artificial Intelligence Distributed Artificial Intelligen ,Citado por 4884
Ernesto Schiefelbein,Universidad Autónoma de Chile,Dirección de correo verificada de uautonoma.cl,Educación flipped classroom. ,Citado por 4410
JOSE JESUS GAZQUEZ LINARES,"Catedrático de Psicología, Universidad Autónoma de Chile",Dirección de correo verificada de uautonoma.cl,,Citado por 4406
Giovanna Cottin,Universidad Adolfo Ibañez,Dirección de correo verificada de uai.cl,Particle Phenomenology Beyond the Standard Model Long-Lived Particles Higgs ,Citado por 121956
Andrés Jordán,Universidad Adolfo Ibáñez,Dirección de correo verificada de uai.cl,Exoplanets protoplanetary and debris disks early-type galaxies globular clusters ,Citado por 16710
José Luis Campos,"Facultad de Ingeniería y Ciencias, Universidad Adolfo Ibáñez",Dirección de correo verificada de uai.cl,Wastewater treatment ,Citado por 11265
Sandra Milberg,"Professor of Marketing, Universidad Adolfo Ibañez",Dirección de correo verificada de uai.cl,Consumer Behavior Branding Decision Making Information Privacy ,Citado por 9715
Bernardo R. Broitman,"Professor, Departamento de Ciencias, Facultad Artes Liberales, Universidad Adolfo Ibáñez",Dirección de correo verificada de uai.cl,Biophysical forcing Coastal ecosystems Biogeography ,Citado por 6364
Tito Homem-de-Mello,Professor. School of Business. Universidad Adolfo Ibañez.,Dirección de correo verificada de uai.cl,Optimization under uncertainty. ,Citado por 5305
"Constanza Bianchi, PhD",Universidad Adolfo Ibañez - Queensland University of Technology,Dirección de correo verificada de uai.cl,International marketing ,Citado por 4913
Daniel Olivares Quero,"Faculty of Engineering and Sciences, Universidad Adolfo Ibañez",Dirección de correo verificada de uai.cl,Power & Energy Systems Smartgrids Microgrids Applied Optimization. ,Citado por 4508
Bernardo González,Universidad Adolfo Ibáñez. Universidad Católica de Chile,Dirección de correo verificada de uai.cl,,Citado por 4386
Andrea Repetto,Universidad Adolfo Ibañez,Dirección de correo verificada de uai.cl,Applied Economics ,Citado por 4350
Maroun Khoury,"Director of Investigation, Universidad de los Andes, Santiago",Dirección de correo verificada de uandes.cl,stem cells ,Citado por 3848
Karina Pino-Lagos,"Immunologist, Faculty of Medicine, Universidad de los Andes",Dirección de correo verificada de uandes.cl,Immunology Transplantation Immuneregulation Inflammation ,Citado por 3402
Ursula Wyneken,Universidad de los Andes,Dirección de correo verificada de uandes.cl,Neurociencias ,Citado por 2494
Jimena Cuenca Moreno,Universidad de los Andes,Dirección de correo verificada de uandes.cl,Cell therapy inflammation mesenchymal stem cells ,Citado por 2481
María Teresa Valenzuela,"Vicedecana de Investigación, Universidad de los Andes",Dirección de correo verificada de uandes.cl,Salud Pública ,Citado por 2437
Matias Braun,"Professor of Financial Economics, ESE Business School, Universidad de los Andes",Dirección de correo verificada de uandes.cl,Financial Development Political Economy Economic History ,Citado por 2340
Fernando E. Figueroa,"Universidad de los Andes, Santiago de Chile",Dirección de correo verificada de UANDES.CL,,Citado por 2202
Hernán Corral,Profesor de Derecho Civil Universidad de los Andes de Santiago de Chile,Dirección de correo verificada de uandes.cl,Derecho de la persona derecho de familia contratos responsabilidad civil Tomás Moro y su faceta jurídica ,Citado por 2186
Lara J Monteiro,"Postdoc fellow, Universidad de los Andes, Chile",Dirección de correo verificada de miuandes.cl,Molecular Biology Cancer Reproductive Biology ,Citado por 2067
Dolores Busso,"Facultad de Medicina, Universidad de los Andes",Dirección de correo verificada de uandes.cl,,Citado por 1818
Pablo Vial,Universidad del Desarrollo,Dirección de correo verificada de udd.cl,pediatria infectologia virologia ,Citado por 7711
Mauricio A. Retamal,"Universidad del Desarrollo, Centro de Fisiología Celular e Integrativa",Dirección de correo verificada de udd.cl,General Physiology Cell Physiology ,Citado por 3853
Mauricio A. Retamal,"Universidad del Desarrollo, Centro de Fisiología Celular e Integrativa",Dirección de correo verificada de udd.cl,Ion channels Connexins Hemichannels ,Citado por 3772
Iris Delgado Becerra,"Facultad de Medicina, Clínica Alemana Universidad del Desarrollo",Dirección de correo verificada de udd.cl,Salud Publica Determinantes Sociales de La salud Evaluación de Políticas de Salud ,Citado por 3394
Baltica Cabieses,Prof. Social Epidemiology at UDD; Senior visiting scholar at UoYork; Co-leader Lancet …,Dirección de correo verificada de udd.cl,Health inequalities global public health migration and health patients research implementation science ,Citado por 3151
Jaime R. Silva,Universidad del Desarrollo,Dirección de correo verificada de udd.cl,Stress eating behavior affective disorders metacognition developmental psychopathology ,Citado por 2522
Javier Castro,"Universidad del Desarrollo, Chile",Dirección de correo verificada de ingenieros.udd.cl,cement concrete LWA fly ash ,Citado por 2385
Claudia Gonzalez Wiedmaier,"Centro de Epidemiología y Políticas de Salud, facultad de medicina, CAS-UDD",Dirección de correo verificada de udd.cl,Salud Pública Epidemiología ,Citado por 2324
Roberto Melipillán,"Universidad del Desarrollo, Faculty of Psychology, CEBCS",Dirección de correo verificada de udd.cl,Survey Methodology Latent Variable Models Machine Learning ,Citado por 2305
Ximena Aguilera MD MPH Public Health Physician. Full Professor,Centro de Epidemiología y Políticas de Salud. Fac. de Medicina Universidad del Desarrollo …,Dirección de correo verificada de udd.cl,Public Health Epidemiology Communicable Diseases Health System ,Citado por 2119
Jose Rodriguez,"Professor, Engineering Faculty, Universidad Andres Bello",Dirección de correo verificada de unab.cl,Power electronics multilevel converters predictive control renewable energy industrial electronics ,Citado por 71697
Eduardo Alejandro Gutierrez Ramirez,"Magister, Universidad Andres Bello",Dirección de correo verificada de uandresbello.edu,history ,Citado por 31563
Patricia Perez,Universidad Andres Bello,Dirección de correo verificada de unab.cl,Theoretical Chemistry Chemical Reactivity ,Citado por 10159
Ariel Orellana,"Universidad Andres Bello, Chile",Dirección de correo verificada de unab.cl,Plant Biology Cell Biology Genomics Proteomics ,Citado por 6094
Claudia Andrea Riedel,Universidad Andrés Bello,Dirección de correo verificada de unab.cl,Hypothyroxinemia iodide pregnancy fetal programming inflammatory … ,Citado por 6003
Giancarlo V. De Ferrari,"Full Professor, Universidad Andres Bello",Dirección de correo verificada de unab.cl,Wnt/beta-catenin signaling Alzheimer's disease autism spectrum disorders cancer genetics and genomics ,Citado por 5156
Alvaro A. Elorza,"Full Professor, Institute of Biomedical Sciences, Universidad Andres Bello",Dirección de correo verificada de unab.cl,Mitochondria Stem Cells Cancer Hematopoiesis Aging ,Citado por 5080
Eduardo Chamorro,Director Programa de Doctorado en FisicoQuimica Molecular. Universidad Andres Bello,Dirección de correo verificada de unab.cl,Chemical Reactivity Density Functional Theory Spin polarized ,Citado por 4598
Claudio Cabello-Verrugio,Universidad Andres Bello,Dirección de correo verificada de unab.cl,skeletal muscle atrophy angiotensin 1-7 TGF-beta angiotensin II ,Citado por 3719
Felipe Simon,Universidad Andres Bello,Dirección de correo verificada de unab.cl,Inflammation Sepsis Vascular endothelial function Diagnosis ICU ,Citado por 3504
jorge cancino,Universidad San Sebastian,Dirección de correo verificada de uss.cl,Biología Celular ,Citado por 11572
Kokkarachedu Varaprasad,"Facultad de Ingeniería y Tecnología, Universidad San Sebastián",Dirección de correo verificada de uss.cl,… for infection control  &  Hydrogels for … ,Citado por 4624
Rommy von Bernhardi,Professor for Neuroscience; Dean Faculty for Health Science Universidad San Sebastian,Dirección de correo verificada de uss.cl,Aging Alzheimer's disease glia neurodegenerative diseases neuroinflammation ,Citado por 4529
Carlos P Vio,Universidad San Sebastian,Dirección de correo verificada de uss.cl,Nephrology Hypertension Renal Physiology and Pathology ,Citado por 3780
Valentina Echeverria,"Research Professor, Universidad San Sebastián de Chile. Scientist, Bay Pines VAHCS,USA",Dirección de correo verificada de uss.cl,Neurodegenerative diseases Psychiatric diseases Nicotinic receptors traditional medicine research Tobacco derivatives ,Citado por 3681
Alejandro S. Godoy,Universidad San Sebastián; Roswell Park Cancer Institute,Dirección de correo verificada de uss.cl,Prostate cancer tumor microenvironment angiogenesis metabolism androgens ,Citado por 2486
